Er war {{c1::auf::prep}} der langen Veranstaltung.;He was at the long event.;Era al lungo evento.;Er war auf der langen Veranstaltung.
Ich {{c1::passe mich::adapt myself}} meinen Kollegen schnell {{c2::an::particle}}.;I adapt to my colleagues quickly.;Mi adatto rapidamente ai miei colleghi.;Ich passe mich meinen Kollegen schnell an.
{{c1::Wie unterscheidet sich ein Mann von einer Frau?::question}};How does a man differ from a woman?;In che cosa si differenzia un uomo da una donna?;Wie unterscheidet sich ein Mann von einer Frau?
{{c1::Ich gewöhne mich langsam an::I'm getting used to}} das kalte Wetter.;I'm slowly getting used to the cold weather.;Mi sto abituando lentamente al clima freddo.;Ich gewöhne mich langsam an das kalte Wetter.
Ich {{c1::mache mir Gedanken::worry/ponder}} über meine Zukunft.;I'm worried about my future.;Sono preoccupato per il mio futuro.;Ich mache mir Gedanken über meine Zukunft.
Du solltest das {{c1::unbedingt::absolutely}} ausprobieren.;You should definitely try that.;Dovresti assolutamente provarlo.;Du solltest das unbedingt ausprobieren.
Ich kann nicht {{c1::auf Kaffee verzichten::do without coffee}}.;I can't do without coffee.;Non posso fare a meno del caffè.;Ich kann nicht auf Kaffee verzichten.
{{c1::Sein Benehmen::his behavior}} war unhöflich.;His behavior was rude.;Il suo comportamento è stato scortese.;Sein Benehmen war unhöflich.
{{c1::Ich dachte::I thought}}, du kommst später.;I thought you were coming later.;Pensavo che saresti venuto più tardi.;Ich dachte, du kommst später.
Ich dachte {{c1::über::about}} das Thema nach.;I thought about the topic.;Ho riflettuto sull'argomento.;Ich dachte über das Thema nach.

