id,example_order,example_nl
core_000043,1,Hij maakte een snelle beweging.
core_000043,2,Hij maakte haar kapotte fiets.
core_000044,1,Het festival gaat begin juli van start en loopt tot eind September.
core_000045,1,Hij vraagt zich af of hij wel genoeg contant geld bij zich heeft.
core_000046,1,We hebben gedaan wat we moesten doen.
core_000047,1,Hij schreeuwde zo luid dat het leek of de deur open stond.
core_000048,1,Ik ga nu eerst met vakantie.
core_000049,1,Hij nam zijn zoon mee.
core_000049,2,Hij ging op zoek naar z’n dochter.
core_000050,1,Elk jaar bellen één miljoen mensen de servicelijn.
core_000051,1,Ze bereikten de top van de andere heuvel.
core_000052,1,Zou ik dat ook hebben gedaan?
core_000053,1,Hij was naar dit kantoor gegaan.
core_000054,1,Wie zou mij willen tegenhouden?
core_000055,1,Ze kon mijn trap niet op en liet zich dragen.
core_000055,2,Zij lieten zich graag trakteren.
core_000056,1,De drie kinderen staan naast haar.
core_000057,1,In de verte zag zij het huis.
core_000058,1,U mag ‘stop’ zeggen wanneer u wilt.
core_000059,1,Hij hoopte van de frisse lucht een helder hoofd te krijgen.
core_000060,1,Ik deed de lichten uit en wij verlieten de bijkeuken.
core_000060,2,Ik stel voor dat we het werk eerst afmaken.
core_000061,1,In de deur stond een grote vrouw.
core_000061,2,U doet me een groot plezier als u iets met mij wilt gaan drinken.
core_000062,1,Meteen na het eten ging hij weg.
core_000063,1,Ze kochten hun vlees bij de slager.
core_000063,2,Hij geeft hun een snoepje.
core_000064,1,Je vader zei dat ik me met mijn eigen zaken moest bemoeien.
core_000065,1,Uiteraard houden wij deze zaak nauwlettend in het oog.
core_000066,1,"Ik rijd maar door tot op de markt, parkeer daar en stap uit."
core_000067,1,Heb jij nog zin om boodschappen te doen?
core_000067,2,Wat bedoel je?
core_000068,1,Elisabeth vindt het nummer van de politie.
core_000069,1,Ik heb door een timmerman een houten stoel laten maken.
core_000070,1,Door alle publiciteit werd het een vervelende zaak.
core_000071,1,Al die tijd bleef hij tegen mij zwijgen.
core_000072,1,De twee vrouwen staan in elkaars armen te huilen.
core_000073,1,Een van de jongens liep naar de deur.
core_000073,2,Slechts één woning liep schade op.
core_000074,1,Sommige mensen fluiten de hele dag.
core_000075,1,Oma geeft haar een glas water.
core_000076,1,Dergelijk gedrag kon niet onbestraft blijven.
core_000077,1,Ze herkende het huis waar ze geboren was.
core_000078,1,Ze schold hem uit en toch troostte hij haar.
core_000079,1,Ze kwam naar ons toe.
core_000079,2,Een van onze vrienden logeert ergens anders.
core_000080,1,Hans kroop onder de dekens.
core_000081,1,De rechter wilde weten wat er gebeurd was.
core_000082,1,Ik zit op de sofa en kijk naar de bergen.
core_000083,1,Daarmee was ze een seconde sneller dan haar oude toptijd.
core_000084,1,Zijn gezicht durfde ze maar nauwelijks aan te raken.
core_000085,1,Dieren kunnen een innige band met mensen hebben.
core_000086,1,Hij kreeg een boete omdat zijn brommer niet in orde was.
core_000087,1,Hij heeft besloten om alleen te gaan.
core_000088,1,Ze nam de jas van de kapstok en hield hem voor me op.
core_000089,1,In zijn linkerhand hield hij een plastic tasje.
core_000090,1,Hij wordt de nieuwe burgemeester.
core_000091,1,Zij mag doen wat ze wil.
core_000092,1,Hij ging zitten en hij stond weer op.
core_000093,1,Het doen van strategisch onderzoek kost tijd.
core_000094,1,Het lange meisje kon bij de bovenste plank.
core_000094,2,Het klonk als een beslissing waarover lang was nagedacht.
core_000095,1,Hij was me te vlug af.
core_000095,2,Af en toe zit ik te klappertanden van de kou.
core_000096,1,We lagen diezelfde nacht nog in bed.
core_000097,1,"Natuurlijk heeft onze advocaat deze deal bekeken, maar alles is legaal, dus we kregen er een concurrent bij."
core_000098,1,Hij wilde er niet van horen en verbood het haar.
core_000098,2,De gouden ring was een erfstuk van haar oma.
core_000099,1,Na drie jaar kon ze zich deze tocht nog van dag tot dag herinneren.
core_000100,1,Hij dringt tussen zijn kinderen door naar voren en gaat de trap af.
core_000101,1,Waarom heb je mij niet opgebeld?
core_000101,2,Ik voel me fit.
core_000102,1,Enkele maanden geleden wist ik niet eens van haar bestaan af.
core_000103,1,Enkele seconden later voigt een explosie niet ver van mij vandaan.
core_000104,1,De volgende dag zat mijn grootvader weer in zijn stoel.
core_000105,1,Ik had zelf geen oordeel.
core_000105,2,Zij hebben zelf bedacht dat het zo moest kunnen.
core_000106,1,Hij zat achter zijn bureau en scheen mijn aanwezigheid niet op te merken.
core_000106,2,Ik deed m’n werk.
core_000107,1,Het scenario liep aanvankelijk zoals gewenst.
core_000108,1,Ze liep weg en liet hem staan.
core_000108,2,Heb je’m gisteren nog zien lopen?
core_000109,1,Ik heb er ervaring mee.
core_000110,1,Hij riep iets in mij op dat ik vergeten was.
core_000111,1,Ze vraagt de man of hij weet hoe het vuur is ontstaan.
core_000112,1,Ik denk dat hij gedroomd heeft.
core_000113,1,Er werden in enkele gevallen etenswaren zonder vergunning verkocht.
core_000114,1,"De groente is niet groen, maar wit, want het is bloemkool."
core_000115,1,De weg gaat hier naar links.
core_000116,1,Het water was er altijd in beweging door de botsing met de rotsen.
core_000117,1,Met maximum 8 graden is het te koud voor de tijd van het jaar.
core_000118,1,Het duurde nog een halfuur voor alle passagiers op hun plaats zaten.
core_000119,1,Na enkele seconden hoorde ik de auto ook.
core_000120,1,Uiteraard weet hij te ontsnappen en de jacht begint opnieuw.
core_000121,1,Tegenover hem zat een forse man met een reusachtige zwarte baard.
core_000122,1,Die mensen werden binnen een paar weken schatrijk.
core_000123,1,Laura deed spontaan een stap naar hem toe.
core_000124,1,Voor een echte dief had hij nogal wat fouten gemaakt.
core_000125,1,Ik zag niet in waarom ik dit keer anders zou moeten handelen.
core_000126,1,Weet je wie dat was die je hoorde spelen?
core_000127,1,Misschien ken je iemand die bij het bedrijf werkt of heeft gewerkt.
core_000128,1,Het examen aardrijkskunde was volgens de leerlingen te moeilijk.
core_000129,1,Even zag hij in de boodschap de projectie van zijn eigen gevoelens.
core_000130,1,Ze toonden ons angst en verslagenheid en vooral uitzinnige woede.
core_000131,1,Zelfs papa zong uit voile borst mee.
core_000132,1,Hij stelt dat het belangrijk is om samen te werken
core_000132,2,Hij hield niet op met vragen stellen.
core_000133,1,We worden naar een tent gebracht.
core_000134,1,Ze had een zekere charme.
core_000135,1,In elk café hangen een heleboel affiches.
core_000136,1,Toen ik op het station aankwam was de trein net weg.
core_000137,1,Hij liep naar de bar.
core_000138,1,Het kleine mannetje kon er net niet bij.
core_000139,1,Deze monniken zien nooit een vrouw.
core_000140,1,Zij vroeg aan de man wie hij was.
core_000141,1,De jongen viel van een tien meter hoge steiger op een bouwwerf.
core_000142,1,Bij ons in het dorp was alles donker en stil.
core_000143,1,Afgelopen week was hij even terug op zijn vroegere werkplek.
core_000144,1,Ik hoorde zijn stem boven alles uit.
core_000145,1,De kinderen speelden in het zwembad.
core_000146,1,Zo kon hij soms uren doorgaan.
core_000147,1,Een oude man schuifelt door de donkere straat.
core_000148,1,Zij wonen in een hoge flat.
core_000149,1,Hij ging even een biertje drinken in het café.
core_000150,1,Tijdens het bezoekuur hoorde ik haar vrolijk praten met haar vader en moeder.
core_000151,1,Je ontdekt steeds meer als je eenmaal onderweg bent.
core_000152,1,Ineke zette thee en bakte eieren voor ons toen we thuiskwamen.
core_000153,1,Het winkelpand stond na het faillissement van de vorige bezitter al geruime tijd leeg.
core_000154,1,Binnen Gent is één grote hogeschool gecreëerd.
core_000155,1,In het gewone leven gaat dat anders.
core_000155,2,Een parkje waar ze allebei gewoon vanuit hun huis naartoe kunnen fietsen.
core_000156,1,Ze had niets bij zich dan haar handtas.
core_000157,1,In een snelle spurt reed hij naar voren.
core_000158,1,Verbaasd kijkt ze om zich heen.
core_000159,1,Hij vond gedurende enkele maanden een baantje in een fabriek.
core_000160,1,Het jonge meisje speelde moeiteloos mee.
core_000161,1,Ze weten niet waar ze de formulieren moeten halen.
core_000162,1,Het lijkt me erg gezellig om elkaar te zien.
core_000163,1,Zij zette de bloemen in een vaas.
core_000164,1,Dit blijkt uit een eerste rapportage van het onderzoeksbureau.
core_000165,1,We zaten met de leden van het comité bij elkaar en kwamen toen op dit idee.
core_000166,1,Ik heb op dit moment weinig tijd.
core_000167,1,De directie ging voor dit jaar eerst uit van een groei van 3 procent.
core_000168,1,We losten elkaar af bij haar bed.
core_000169,1,De politie onderzoekt de mogelijke omkoping van scheidsrechters.
core_000170,1,Samen deden ze de afwas.
core_000171,1,De kinderen maakten een maquette van hun school.
core_000172,1,Zij vindt haar werk erg leuk.
core_000173,1,De oostelijke helft van het land blijft gevoelig voor buien.
core_000174,1,Vroeger werden vrouwen en mannen gescheiden in de kerk.
core_000175,1,Ze balde een enkele keer haar handen tot kleine vuisten.
core_000176,1,Er zijn veel kleine conflicten die het dagelijks leven verstoren.
core_000177,1,Ik ben niet zo’n strenge leraar.
core_000178,1,We hebben het eind van onze reis nog niet bereikt.
core_000178,2,De film had een onverwacht einde.
core_000179,1,De kloof tussen burgers en politiek zal blijven bestaan.
core_000180,1,Hij heeft de spieren rond zijn schouderblad verrekt of gescheurd.
core_000181,1,Deze dieren liggen overdag vaak te rusten in de zon.
core_000182,1,Dit evenement trekt ieder jaar veel bezoekers.
core_000183,1,Het aantal werkloze leerkrachten daalt.
core_000184,1,Hij gaat weer achter zijn bureau zitten.
core_000185,1,Volgens de afspraken mogen ze nieuwe bossen opvoeren als natuurlijke CO2-eters.
core_000186,1,Er stond geen naam op het stukje karton.
core_000187,1,Zij was de laatste jaren onze steun op het secretariaat.
core_000188,1,Er was niemand in dit deel van de stad.
core_000189,1,Volgens hem biedt het programma belangrijke voordelen.
core_000190,1,Ik zei dat ik een vergadering had en misschien laat thuiskwam.
core_000191,1,Vele sprekers schilderden uitvoerig wat er kon gebeuren.
core_000192,1,Volgend jaar krijgt iedereen een bonus van 2 procent.
core_000193,1,Het huis is bijna klaar.
core_000194,1,Het land heeft echter nog tal van problemen op te lossen.
core_000195,1,De totale tijd tussen bestellen en leveren is drie tot vier maanden.
core_000196,1,Haar cliënt had geen gemakkelijke tijd gehad sinds haar behandeling begon.
core_000197,1,Het is erg warm hier.
core_000198,1,De partijvoorzitter wordt per referendum gekozen.
core_000199,1,Dat is ruim 10 procent minder dan twee weken geleden.
core_000200,1,Ze namen de nodige maatregelen.
core_000200,2,Voor dit gerecht heeft u ook geroosterde rijst nodig.
core_000201,1,Hij wordt genoemd als staatssecretaris van onderwijs.
core_000202,1,Wijsbegeerte gaat over de grote vragen van het bestaan.
core_000203,1,Hij probeert hun gedrag te begrijpen.
core_000204,1,Zij bracht de zaak voor de rechter.
core_000204,2,De slager stond trots voor zijn zaak.
core_000205,1,We hebben iemand nodig die Nederlands spreekt.
core_000206,1,Deze mensen kregen allemaal een ander vaccin toegediend.
core_000207,1,Leiderschap komt meestal pas tot zijn recht op momenten van crisis.
core_000208,1,Betty voelde zich niet helemaal op haar gemak.
core_000209,1,Men zou wat meer reclame moeten maken.
core_000210,1,Vroeger dacht ik dat ik mezelf steeds beter zou leren kennen als ik ouder werd.
core_000211,1,Hij is een bekend zakenman.
core_000212,1,Zij bleef naar mij kijken terwijl ik dronk.
core_000213,1,Er wordt een nieuw huis gebouwd in de straat.
core_000214,1,In dat geval moet je het later nog maar eens proberen.
core_000215,1,Hij gaf ze duidelijke aanwijzingen.
core_000215,2,De scheidingslijn was niet altijd duidelijk.
core_000216,1,Een prettig neveneffect is dat de computer minder energie gebruikt.
core_000217,1,De juffrouw vertelde tijdens de les een verhaal.
core_000218,1,Hij wilde een T-shirt met korte mouwen aan.
core_000219,1,"Buiten is het koud, zoals het alleen in de vroege lente kan zijn."
core_000220,1,Burgers met vragen kunnen vanaf vandaag ook terecht bij Postbus 51.
core_000221,1,Acht spelers wilden de coach weg hebben.
core_000222,1,"Els twijfelt, want ze wil eigenlijk niet verhuizen."
core_000223,1,De daders zijn via het plat dak binnengeklommen.
core_000224,1,Hij werd iemand die nog maar zelden zei wat hij dacht.
core_000225,1,Jongeren moeten eerder leren samenwerken dan met elkaar te wedijveren.
core_000226,1,Papa heeft zijn mooie pak aan en een wit sjaaltje om zijn hals.
core_000227,1,De gerechten waren met krijt op een bord aan de muur geschreven.
core_000228,1,Hij werkt vijf dagen per week.
core_000229,1,De voetballer tekende gisteren een contract voor drie jaar.
core_000230,1,De sterke jongen tilde drie kratten tegelijk.
core_000231,1,Op het nachtkastje staan een paar vergeelde wenskaarten.
core_000232,1,Ziet u hier soms iets wat u herkent?
core_000233,1,Misschien zou het ooit weer beter tussen hen kunnen worden.
core_000234,1,Vandaag hangt er een aankondiging op de deur.
core_000235,1,De vraag is waarom men niet samenwerkt.
core_000236,1,Op andere momenten kon ze ook niet trainen.
core_000237,1,Ik vond een andere manier om je te helpen.
core_000238,1,Ik wens je veel sterkte toe in deze moeilijke periode.
core_000239,1,De wereld ziet er nu heel anders uit.
core_000240,1,Hij probeerde opnieuw zijn zoon te spreken.
core_000241,1,Ik was moe en ging daarom vroeg naar bed.
core_000242,1,Hij gaf het geld aan de bakker.
core_000243,1,Ze was zeer verzwakt en woog nog 46 kilo.
core_000244,1,Soms gaat het niet zoals je wilt.
core_000245,1,De groep wachtte tot de gids was uitgesproken.
core_000246,1,Het museum staat in het oudste gedeelte van de stad.
core_000247,1,Ik was zijn enige optie.
core_000248,1,Zij maakten een verre reis.
core_000249,1,"‘Zo, en nu hebben we lang genoeg zitten praten,’ zei ze."
core_000250,1,Zij breekt het brood in stukken.
core_000251,1,Samen tillen ze de zware steen op.
core_000252,1,Hij zoekt naar zijn bril.
core_000253,1,We hebben nog een kans om te winnen.
core_000254,1,Ik zei ja op elke uitdaging.
core_000255,1,Hij legde het boek op de tafel.
core_000256,1,Hij zag vlekken waarin geen vorm te onderscheiden viel.
core_000257,1,Ze woonden tien huizen verder in onze straat.
core_000258,1,Ik voelde of hij niets gebroken had.
core_000259,1,Nooit eerder wonnen ze een wedstrijd op een groot toernooi.
core_000260,1,Er werd een begin gemaakt met hervormingen.
core_000261,1,Hij heeft wel degelijk een vast inkomen.
core_000261,2,Zij vindt de maatregelen vast niet streng genoeg.
core_000262,1,Het boekje stelt theorie en praktijk netjes naast elkaar
core_000263,1,Een andere term voor drive-inshow is bijvoorbeeld: mobiele discotheek.
core_000263,2,Zo kun je er bv. zwemmen.
core_000264,1,Het was een slechte zomer.
core_000265,1,Hij verliest hierdoor persoonlijke papieren en 5 euro.
core_000266,1,In de dorpen buiten de randstad is weinig werk.
core_000267,1,Een baan zorgt voor status en sociale contacten.
core_000268,1,Vorig jaar kregen zesenveertigduizend mensen de Nederlandse nationaliteit.
core_000269,1,"Wie goed keek, zag dat ik tranen in mijn ogen had."
core_000270,1,We zaten een beetje loom voor ons uit te staren.
core_000271,1,Hij had alleen niet verwacht dat het zoveel tijd zou kosten.
core_000272,1,Door zijn toedoen ontsnappen zes mijnwerkers aan de dood.
core_000273,1,Het is niet noodzakelijk om meteen een nieuw toestel te plaatsen.
core_000274,1,Melk is lekker en bovendien gezond.
core_000275,1,Bedoelt iedereen hetzelfde als er een bepaald woord wordt gebruikt?
core_000276,1,We leerden bij en dat zagen onze ouders en leraren graag.
core_000277,1,Zondag staan beide ploegen tegenover elkaar.
core_000278,1,Uit de consumpties die ik voorradig had koos ze bier
core_000279,1,Het bedrijf hoopt nog vóór de zomer de eerste interactieve diensten te lanceren.
core_000280,1,"Ondanks het late tijdstip, net na middernacht, moest een welkomstdrankje gedronken worden."
core_000281,1,Hij was de enige die in dat voile huis voor orde zorgde.
core_000282,1,Het licht winterse weer lijkt zich komend weekend en waarschijnlijk ook daarna te handhaven.
core_000283,1,Rustig op de bank een boekje lezen is er niet bij.
core_000284,1,In verschillende steden werden geldautomaten in brand gestoken.
core_000285,1,Bovendien betaalt de stad de energiefactuur.
core_000286,1,Het aantal kijkers wordt geschat op 400 miljoen.
core_000287,1,Beide partijen gaan weer samenwerken op het gebied van veiligheid.
core_000288,1,Ze stond die eerste nacht met haar tentje op een soort dorpsplein.
core_000289,1,Ze hopen ooit kampioen te mogen worden.
core_000290,1,Voor welke dingen maken we eigenlijk keuzes?
core_000291,1,De brede weg lag verlaten in het maanlicht.
core_000292,1,De prijzen van sommige artikelen zijn gehalveerd.
core_000293,1,Zij krijgt provisie voor iedere klant die zij binnenhaalt.
core_000294,1,Zij leidde het elftal.
core_000295,1,De raad krijgt slechts een adviserende functie.
core_000296,1,In tegenstelling tot werknemers heb ik niemand die me op het matje roept.
core_000297,1,Op de gang wachtte de rechercheur die mij al enkele verhoren had afgenomen.
core_000298,1,Ik weet onder welke omstandigheden hij van huis is gegaan.
core_000299,1,Het hotel was gesloten van augustus tot april.
core_000300,1,Zij scoorden vorig jaar boven het landelijk gemiddelde.
core_000301,1,Analisten hadden een lichte daling verwacht.
core_000302,1,"Nee, nee, zo bedoel ik het niet."
core_000303,1,Een politiehelikopter maakte in de vroege ochtend foto’s en videobeelden van de omgeving.
core_000304,1,Bovendien hebben we toffe buren en dat maakt het des te leuker om hier te wonen.
core_000305,1,In de winter hielp hij de kinderen met het maken van een sneeuwpop.
core_000306,1,De zin wordt afgesloten met een punt.
core_000306,2,Het derde punt op de agenda is het feest.
core_000306,3,Hij eindigde twee punten achter de leider.
core_000307,1,In bed zorgde ze ervoor dat haar voeten zijn lichaam niet raakten.
core_000308,1,De jongeren leren in de praktijk voor bijvoorbeeld timmerman of metselaar.
core_000309,1,In dezelfde periode vorig jaar was er een stijging te zien.
core_000310,1,Ze gooide met een harde klap de deur achter zich dicht.
core_000311,1,De feiten speelden zich af tussen maart en december.
core_000312,1,Zij is er de vrouw niet naar om in het verleden te leven.
core_000313,1,De titel van het boek is wat dat betreft goed gekozen.
core_000314,1,Een reden voor de scheiding werd niet gegeven.
core_000315,1,Frank sloeg met zijn vuist op tafel.
core_000316,1,Afgelopen jaar had hij een grote hit.
core_000317,1,Bovendien heerst in ons team volledige openheid.
core_000318,1,Hij kijkt naar de klok. Die staat inderdaad goed.
core_000319,1,"Als het risico voor je bevalling niet verhoogd is, heb je de keuze tussen een bevalling thuis of in het ziekenhuis."
core_000320,1,Binnen een half jaar wordt de scheiding aangevraagd.
core_000321,1,De deur was voor iedereen open.
core_000322,1,Het huis stroomt zo langzamerhand vol met vrienden en familieleden.
core_000323,1,Ik liep langs de meubels.
core_000324,1,De man schudde zijn al wat kalende hoofd.
core_000325,1,Wie de uiteindeiijke beslissing heeft genomen weet ik niet.
core_000326,1,In de horeca gingen in 2003 272 bedrijven failliet.
core_000327,1,De inzittenden kropen tijdig uit de auto en zwommen naar de kant.
core_000328,1,Ze raakte niet uitgepraat over de voorbije week.
core_000329,1,Hij rijdt de auto de garage uit en het tuinhek door.
core_000330,1,Al met al is dit geen gemakkelijke beslissing om te nemen.
core_000330,2,Het wordt geen makkelijke klus.
core_000331,1,Wij willen die bootjes registreren zodat we de eigenaars kunnen opsporen.
core_000332,1,In een vrij land mag je zeggen wat je vindt.
core_000333,1,De politie onderzoekt de zaak.
core_000334,1,Welk verhaal wordt hier verteld?
core_000335,1,De rechtbank vond het in strijd met artikel 8 van de mensenrechten.
core_000335,2,In de winkel verkopen ze huishoudelijke artikelen als potten en pannen.
core_000336,1,"Boeken schrijven is makkelijk, interviews geven is moeilijk."
core_000337,1,De hypothesen moeten nog door archeologisch onderzoek worden gestaafd.
core_000338,1,Ik heb vorige week nog een nieuwe fiets gekocht.
core_000339,1,De rechter acht zowel diefstal als bedreiging bewezen.
core_000340,1,Maar groter betekent ook duurder.
core_000341,1,We zijn allemaal bezig met de band.
core_000342,1,Hij overleed aan de gevolgen van een overdosis heroïne.
core_000343,1,Op school is hij de beste leerling van de klas.
core_000344,1,Ik bleef nog even uit het raam hangen.
core_000345,1,Voor dat plan moet het parlement met twee derde meerderheid toestemming geven.
core_000346,1,Het was het klokje waar hij als kind al naar luisterde wanneer hij in bed lag.
core_000347,1,Hun bedrijf is in rook opgegaan en daarmee hun inkomen.
core_000348,1,De extra manschappen moeten voorkomen dat de zaak uit de hand loopt.
core_000349,1,Hij pakte het koffertje en klikte het slot open.
core_000350,1,"De fontein werd in 1781 gebouwd, nadat een brand het centrum verwoest had."
core_000351,1,Ze heeft een ruime kamer met een mooi uitzicht.
core_000351,2,Ze kregen ruim 300 reacties.
core_000352,1,Maar wat een dom gesprek voeren ze.
core_000353,1,Het bellen van vast naar mobiel wordt ongeveer drie cent goedkoper.
core_000354,1,Vincent kwam met een leuk idee.
core_000355,1,Korte zinnen zijn gemakkelijker te begrijpen.
core_000355,2,Iedereen vraagt zich wel eens af wat de zin van het leven is.
core_000356,1,Op zaterdag en zondag is de voorstelling om halftien afgelopen.
core_000357,1,Hij gelooft ten onrechte dat tactiek belangrijker is dan talent.
core_000358,1,In de nacht van zaterdag op zondag was er een feest.
core_000359,1,Zij hoeven hun medicijnen niet te betalen.
core_000360,1,De gevel werd zorgvuldig in de oorspronkelijke staat hersteld.
core_000361,1,De wereld is enorm veranderd.
core_000362,1,"Zij heeft een leuke baan, een leuk huis en twee kinderen."
core_000363,1,Ze bieden een mooi bedrag voor de woning.
core_000364,1,Hij had in zijn auto op haar gewacht.
core_000365,1,De rest van de familie komt ook nog aan de beurt.
core_000366,1,Je vader en moeder hoeven minder belasting te betalen.
core_000367,1,Op de foto stond de hele familie.
core_000368,1,De precieze afmetingen zijn nog niet bekend.
core_000369,1,Zij stak hem met het mes.
core_000369,2,Hij steekt de sleutel in het slot.
core_000370,1,Ook vorig seizoen presteerde hij trouwens niet al te best.
core_000371,1,Ik begrijp niet naar wie jij altijd zit te bellen.
core_000372,1,Haar moeder kreeg juist in deze maanden het diepste respect voor haar eigen kind.
core_000373,1,Hij stopte enkele keren om haar te laten genieten van het uitzicht.
core_000374,1,Twintig jaar is het echtpaar lid van de carnavalsvereniging.
core_000375,1,De goederen werden nooit geleverd maar de klanten waren wel hun geld kwijt.
core_000376,1,Je kunt hoge of lage salarissen betalen.
core_000377,1,Het huis toonde de sporen van hun abrupte vertrek.
core_000378,1,Een vierkant is ook een bijzondere ruit: het is een ruit waarbij alle hoeken gelijk zijn.
core_000379,1,We hebben met uw vrouw gepraat over het huis.
core_000380,1,Het project heeft bestuurlijk de vorm van een stichting.
core_000381,1,Hoe schat u zichzelf in in politiek opzicht?
core_000381,2,Ze vonden zichzelf best goed.
core_000382,1,Het is hetzelfde behang als mijn oma had.
core_000383,1,Het is juist leuk als je komt.
core_000384,1,De put was zeker vijf meter diep en bijna 30 meter lang.
core_000385,1,Ze hebben hun rol gespeeld en hun doel bereikt.
core_000386,1,De gemiddelde prijs ligt tussen de 150 en 300 euro.
core_000387,1,"Onderzoekers vonden een manier om alle insecten te vangen, te benoemen en te tellen."
core_000388,1,Op afgunst en schijnheiligheid reageer ik kordaat.
core_000389,1,Dat is informatie waarvan de betrouwbaarheid niet altijd kan worden geverifieerd.
core_000390,1,De jongens gingen op de fiets naar het strand.
core_000391,1,Waarop baseer je die veronderstelling?
core_000392,1,Ik zou graag willen dat je me een dienst bewees.
core_000393,1,Dat ziet er lekker uit; mag ik ook een stukje ervan?
core_000394,1,Heel langzaam draaiden haar ogen omlaag en keken naar mij.
core_000395,1,‘Hallo!’ riep ik en zwaaide ook nog met allebei mijn handen.
core_000396,1,Hij wilde een nieuwe baan en had daarvoor de voorzitter nodig.
core_000397,1,"Zolang we winnen, is iedereen gelukkig."
core_000398,1,Hij stuurt mij elke dag een sms’je.
core_000399,1,Daarna droeg hij zijn zeven vuilniszakken naar de stoeprand.
core_000400,1,Op de markt staat een kraam waar ze snoep verkopen.
core_000401,1,Het resultaat van het onderzoek bevestigt alle verhalen over wanpraktijken en gesjoemel.
core_000402,1,Vijf minuten later werd me verzekerd dat de zaak geregeld zou worden.
core_000403,1,Ik geloof er niks van dat je dit zelf wilde.
core_000404,1,Een voor een verdwenen mijn vrienden naar huis.
core_000405,1,Ik heb daar nu geen tijd voor en daarbij heb ik er ook niet zoveel zin in.
core_000406,1,Het totale aantal afgelegde kilometers was vorig jaar groter dan 9 miljard.
core_000407,1,Vanmiddag blijft het op een bui na meestal droog.
core_000408,1,De kansen op een mislukking zijn groter dan die op een succes.
core_000409,1,We besloten brood te smeren en op pad te gaan.
core_000410,1,Die maatregelen kosten geld.
core_000411,1,De meeste huizen in deze straat zijn goed onderhouden.
core_000412,1,Alle kinderen hadden hun ouders meegenomen naar school.
core_000413,1,Zij organiseert een benefietconcert om geld in te zamelen voor voedsel.
core_000414,1,De bijzondere tentoonstelling trok veel aandacht.
core_000414,2,"in het bijzonder, in het bijz.: Maaltijden zijn van prima kwaliteit in het bijz. de visschotels."
core_000415,1,Ik moet acht uur slaap per dag hebben.
core_000416,1,De werkzaamheden starten op 6 februari en duren vermoedelijk tot in de zomervakantie.
core_000417,1,Enkele brandweerlieden drongen het gebouw binnen en spoten het onder water.
core_000418,1,Op het eerste gezicht wijst niets op kwade opzet.
core_000419,1,Hij was de terechte winaar.
core_000420,1,De gekozen artiesten vormen een hechte eenheid.
core_000421,1,Hij reserveerde een tafel voor drie personen.
